Team,1st,2nd,3rd,4th,5th,6th
MurderOnZidanesFloor,0.68,7.82,15.26,18.14,30.26,27.84
LlorisTheHounds,67.68,29.38,2.94,0.0,0.0,0.0
Is Your Motherwell?,0.19,5.5,22.78,21.49,23.17,26.87
Show Me Da Mane,29.19,42.38,11.71,10.18,5.52,1.02
Kloppenheimer,2.26,14.62,42.49,33.47,7.01,0.15
Backstreet Moyes,0.0,0.3,4.82,16.72,34.04,44.12
